call_number,domain,quality,n_shots,case_index,test_input,prompt,score,prompt_chars
1,json_extraction,high,1,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""John Smith is 34 years old and lives in New York. He works as a software engineer.""",1.0,741
2,json_extraction,high,1,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.""",1.0,730
3,json_extraction,high,1,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""The product SKU is AB-1042, priced at $29.99, available in red and blue.""",0.3333,731
4,json_extraction,high,1,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.""",0.0,734
5,json_extraction,high,1,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Order #5523 placed on March 12 for 3 units of Widget X at $15 each.""",0.2,726
6,json_extraction,high,1,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.""",0.8,741
7,json_extraction,high,1,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.""",0.0,725
8,json_extraction,high,1,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Emma Wilson, age 22, studies computer science at MIT. She is from Boston.""",0.8,732
9,json_extraction,high,1,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.""",0.5,731
10,json_extraction,high,1,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\n\nNow extract structured JSON from the following text:\n""Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.""",0.5,741
