call_number,domain,quality,n_shots,case_index,test_input,score,score_pct
1,JSON Extraction,High,1,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
2,JSON Extraction,High,1,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
3,JSON Extraction,High,1,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.3333,33.3%
4,JSON Extraction,High,1,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
5,JSON Extraction,High,1,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.2,20.0%
6,JSON Extraction,High,1,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.8,80.0%
7,JSON Extraction,High,1,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,0.0%
8,JSON Extraction,High,1,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
9,JSON Extraction,High,1,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.5,50.0%
10,JSON Extraction,High,1,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.5,50.0%
11,JSON Extraction,High,3,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
12,JSON Extraction,High,3,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
13,JSON Extraction,High,3,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",1.0,100.0%
14,JSON Extraction,High,3,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
15,JSON Extraction,High,3,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.0,0.0%
16,JSON Extraction,High,3,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.8,80.0%
17,JSON Extraction,High,3,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.75,75.0%
18,JSON Extraction,High,3,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
19,JSON Extraction,High,3,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.5,50.0%
20,JSON Extraction,High,3,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.5,50.0%
21,JSON Extraction,High,5,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
22,JSON Extraction,High,5,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
23,JSON Extraction,High,5,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",1.0,100.0%
24,JSON Extraction,High,5,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
25,JSON Extraction,High,5,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.2,20.0%
26,JSON Extraction,High,5,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.8,80.0%
